Species3,Family3,Order3,BeakLengthCulmen,BeakLengthNares,BeakWidth,BeakDepth,TarsusLength,WingLength,KippsDistance,Secondary,HandWingIndex,TailLength,Mass,Habitat,TrophicLevel,TrophicNiche,PrimaryLifestyle
Accipiter albogularis,Accipitridae,Accipitriformes,27.7,17.8,10.6,14.7,62,235.2,81.8,159.5,33.9,169,248.8,Forest,Carnivore,Vertivore,Insessorial
Accipiter badius,Accipitridae,Accipitriformes,20.6,12.1,8.8,11.6,43,186.7,62.5,127.4,32.9,140.6,131.2,Shrubland,Carnivore,Vertivore,Insessorial
Accipiter bicolor,Accipitridae,Accipitriformes,26.5,14.8,9.2,13.5,57.5,231.8,46.4,189.6,19.8,188.4,287.5,Woodland,Carnivore,Vertivore,Generalist
Accipiter brachyurus,Accipitridae,Accipitriformes,22.5,14,8.9,11.9,61.2,202.2,64.1,138.1,31.7,140.8,142,Forest,Carnivore,Vertivore,Insessorial
Accipiter brevipes,Accipitridae,Accipitriformes,21.1,12.1,8.7,11.1,46.4,217.6,87.8,129.9,40.2,153.5,186.5,Forest,Carnivore,Vertivore,Generalist
Accipiter butleri,Accipitridae,Accipitriformes,20,11.9,6.6,12,48.7,166,42.9,123.1,25.8,127,122,Forest,Carnivore,Vertivore,Insessorial
Accipiter castanilius,Accipitridae,Accipitriformes,20.5,11.5,8.3,10.9,52.6,163.5,38.9,123.1,24,135.4,157.5,Forest,Carnivore,Vertivore,Insessorial
Accipiter chilensis,Accipitridae,Accipitriformes,23.2,12.6,8,11.8,58.8,227,69.2,156.2,30.6,183.8,368,Woodland,Carnivore,Vertivore,Generalist
Accipiter chionogaster,Accipitridae,Accipitriformes,18.2,10.5,7.5,9.7,51.8,181,60.5,124.2,32.7,137,130.6,Forest,Carnivore,Vertivore,Generalist
Accipiter cirrocephalus,Accipitridae,Accipitriformes,19.2,10.6,7.7,9.6,60.3,213,81.3,133.7,37.8,155.4,165.7,Forest,Carnivore,Vertivore,Generalist
Accipiter collaris,Accipitridae,Accipitriformes,20,11.2,8.6,11,43.6,165.9,49.5,115.2,30,125,97.8,Forest,Carnivore,Vertivore,Insessorial
